Time,Value,Amount From,Token From,Amount To,Token To,Transaction Hash,Status
1h,$0.0000,"1.00e-9",SOL,"N/A",Unknown,4wm7v2XimL1PdrbgMMeYv6BpzEn4sjMXG8pciSDwUKmDv99tSYpFK1ZMMfCin4VbFcTpVKFfXNzPmG6euaoEpF4u,Success
1h,$0.0008,"0.003500",SOL,"0.001544",SOL,67cMHzSwKTvhy1TCnybc2NewF841QrBk8386CPE9jydbW8U1eYy962ZeVXgVkZQYPfB8VZjhukvVv4k8w3gPBx36,Success
1h,$0.0001,"0.001500",SOL,"0.001476",SOL,34Fok3r6i3eQMcHTZcrdtQBAgo1LE728w5Xdio4PJcK4NKZZu8naH1aaMjEHJ7PCdFeC7rT3GYadwYzSR65PUzCm,Success
1h,$0.0180,"0.039490",SOL,"0.001905",SOL,53yehHBGmdvXwKYS6tyCQ5XKtLMgDFZF7Q2bM1w5pN5upnLs6mJ9sxrKECr9fK3jS7UdT354wuKZ1i2s8GenmjTd,Success
1h,$0.0033,"0.007611",SOL,"0.000965",SOL,5sjm1oYaRSypuiZnrcLVBWTgxpRDYCoC9XDTtMDy4SANZVDWUB41zGYt9NfG2e2qL2BZb186EuZbiXhW4SNTzE94,Success
1h,$0.0069,"0.015061",SOL,"N/A",Unknown,44VL91m5uvs5qBLBPUdGMk795nGcVWqGqusQH9aMKzBHNhuxWMj5uFJ5Z2Q7GC6gzRNYMXacmZA9Dip8UPndniHx,Failed
1h,$0.0046,"0.000040",SOL,"0.001403",SOL,56u6QLMyKY9fafwuwQTxJSkvt9zjggHFcQk8pdUFbWBLY38yVKBGtaat2Qrsme6g6zZwszypgMChjnQKF7byE1tm,Success
1h,$0.0042,"0.012787",SOL,"0.001262",SOL,DEZVADuYL95u97KTFUDqfk6p5k276J4kixuyFm7djvTnCFgXoipTMznUA2ycfv3htBejrqLvLPSWcJK1rg8DP5Y,Success
1h,$0.0019,"0.006600",SOL,"0.002501",SOL,3jGFTc1UYiDWMCuZrqGfnj74Sa3RRf4EJAP3TTCs3W4NBzC4kvTHYE9FhSixKzWsMwWjwr8FpDtGXfogj8wys9zn,Success
1h,$0.0073,"0.021811",SOL,"N/A",Unknown,5WewrEBPDTGnoVaEYtHHDgCaQ16XZzk79sjZoVWuP7dpPKbs1soKhY379xGgzSKafBr2o1poP4pMYfuzHueRuzrr,Failed
1h,$0.0027,"0.008032",SOL,"0.000988",SOL,4bM6xtEQ6nf256WBHrYR7aPPUiUMP2Yt7nPRNZ52tfL3BLvSsRbQD19iFdVruf6FKzPK9X8nFQiAts51YnNBNrFv,Success
1h,$0.0035,"0.010422",SOL,"N/A",Unknown,2bAecC1yC5ocv6g1Z8mWhK1G46Tr4LcMrSDSW78BDh2MC6WzBSXQ9xusnkJaAjdgrjSd9ZMa573xxxGirG5EQcE2,Failed
1h,$0.0014,"0.000987",SOL,"0.000898",SOL,3cJwWdvyhw6ZpfffUnih26iDD6rQJCj1fXB2TFjTaQf7Vd6k6h1D2RYPoccar8JkDDqXVkc8KeJskqeje9FVHkRC,Success
1h,$0.0090,"0.001500",SOL,"0.001056",SOL,37eUMK6me9BF8VZx1NSd2SayfQ3fniiD2EjGEMXRgt8NsYJibKHhA6s1GrxBENoGouYdiTGcJWBo1g26MPWyy7wN,Success
1h,$0.0034,"0.010243",SOL,"0.000970",SOL,39bEATWDetzheWNSCypknwqE6BZKpmLVZpmct7j97YHNjPiUzwukQXzMBMtKs1oi1YxxEvV6WDcBPG8Wjza4DyrY,Success
1h,$0.0012,"0.000685",SOL,"0.000967",SOL,2Grsx8yXfYMcruqWS4dQfzAE2jq6zqD7MH24df7gFQba6gasVz4NraS68jg7ESYzKBQ7wE98Cmzh2Fm7ifPmQ75s,Success
1h,$0.0090,"0.001500",SOL,"0.001026",SOL,YgpXLpiK4e23q7txvvuKxmsPh6q9jHQaAFSKRkvw9MhC5V2enrUbsAg25t4YMQXXGfGyuobZuDypEyABQvKjrjB,Success
1h,$0.0046,"0.000040",SOL,"0.001004",SOL,4eSPmQ5pecFHPaKReTXVMF7erQKQPMbdadQef8MdouJ7Qo52QsUEkJmzdSG8RNmH5SNfgF1Bd2LUssdgpDaYAvTw,Success
1h,$0.0019,"0.006600",SOL,"0.002836",SOL,63xQNVvY9DCC4SCeQkFZ4UDGHJHyu7c7cG1tQ3ceSj4r6rfSQYiKQPKnWP3aiFiviXBGTQ67bSdRdz8YZ3L3yQ7k,Success
1h,$0.0185,"0.047011",SOL,"0.002524",SOL,4JMQAqNigGMjC7bnZSoCwXAq1zyRUpninMUoPgkP7o1NA8NXG8X5k9z9ZXKbEU7L9hbBCbu2cXs7rsUsRidogyia,Success
1h,$0.0000,"0.100000",SOL,"N/A",Unknown,3WRV4dhaNtQ22878mLadaMh7nxdiiPF7Y3rdTdcJCz4cd3eUjWcst6V348qYz2Df9pzEZVFFMpN3LSUU4LJPqCyK,Success
